Node:262.198,207.593 | Pred:316.057,216.011 | Edge:nv19 | Cost:213
Node:649.941,690.518 | Pred:649.736,628.989 | Edge:cg21 | Cost:304
Node:629.321,826.512 | Pred:626.092,765.736 | Edge:cg32 | Cost:367
Node:302.103,584.23 | Pred:355.195,510.023 | Edge:sv40 | Cost:307
Node:974.98,1294.77 | Pred:932.949,1143.6 | Edge:sq21 | Cost:688
Node:759.747,590.848 | Pred:723.5,556.909 | Edge:pr35 | Cost:280
Node:553.571,908.41 | Pred:595.062,815.979 | Edge:ud11 | Cost:421
Node:285.186,376.969 | Pred:385.494,356.271 | Edge:nv13 | Cost:237
Node:623.485,887.02 | Pred:667.939,837.667 | Edge:cgi3 | Cost:444
Node:532.329,627.047 | Pred:562.092,549.276 | Edge:ud38 | Cost:261
Node:931.879,919.434 | Pred:915,862.14 | Edge:ab44 | Cost:489
Node:285.182,983.83 | Pred:418.252,942.215 | Edge:ud4 | Cost:516
Node:526.793,781.011 | Pred:499.186,756.566 | Edge:cg48 | Cost:341
Node:575.198,773.407 | Pred:534.906,702.824 | Edge:cg30 | Cost:335
Node:608.353,212.224 | Pred:638.647,123.224 | Edge:nv3 | Cost:68
Node:995.553,983.235 | Pred:1002.92,949.011 | Edge:cb9 | Cost:540
Node:915.071,675.671 | Pred:752.771,632 | Edge:ab31 | Cost:374
Node:1201.07,413.954 | Pred:1096.45,380.652 | Edge:ab5 | Cost:492
Node:418.252,942.215 | Pred:440.233,880.011 | Edge:ud14 | Cost:452
Node:414.345,392.207 | Pred:469.144,413.639 | Edge:sv1 | Cost:201
Node:763.97,742.909 | Pred:748.523,740.419 | Edge:cg4 | Cost:355
Node:314.154,496.596 | Pred:323.655,481.149 | Edge:sv34 | Cost:274
Node:516.944,1521.98 | Pred:506.954,1371.93 | Edge:sq27 | Cost:724
Node:1529.18,925.92 | Pred:1473.02,833.42 | Edge:ao5 | Cost:753
Node:342.814,481.57 | Pred:346.27,452.652 | Edge:sv43 | Cost:264
Node:994.6,649.455 | Pred:939.92,679.25 | Edge:ab15 | Cost:413
Node:932.949,1143.6 | Pred:979.874,1066.59 | Edge:cb35 | Cost:618
Node:785.056,134.753 | Pred:659.465,81.9596 | Edge:nw1 | Cost:190
Node:588.458,253.952 | Pred:608.353,212.224 | Edge:nv2 | Cost:81
Node:346.27,452.652 | Pred:409.224,422.353 | Edge:sv44 | Cost:254
Node:715.404,777 | Pred:684.894,747.918 | Edge:cg11 | Cost:354
Node:789.704,870.391 | Pred:707.953,850.767 | Edge:cg37 | Cost:428
Node:566.542,1047.29 | Pred:590.943,938.701 | Edge:sq7 | Cost:512
Node:697,544.718 | Pred:674.581,534.291 | Edge:pr3 | Cost:239
Node:924.955,644.079 | Pred:951.046,618.069 | Edge:ab25 | Cost:387
Node:321,460 | Pred:296.96,419.841 | Edge:sv31 | Cost:276
Node:509.878,702.5 | Pred:517.144,679.835 | Edge:cg54 | Cost:300
Node:1030.55,1041.02 | Pred:1040.81,1010.59 | Edge:cb12 | Cost:580
Node:362.063,582.373 | Pred:469.144,413.639 | Edge:pr29 | Cost:268
Node:371.724,225.6 | Pred:416.934,200.745 | Edge:nv23 | Cost:165
Node:483.39,806.39 | Pred:497.854,784.906 | Edge:ud21 | Cost:364
Node:1029.86,1141.83 | Pred:1070.25,1104.95 | Edge:cb20 | Cost:617
Node:239.014,279.685 | Pred:262.198,207.593 | Edge:nv17 | Cost:248
Node:894.76,734.05 | Pred:915.071,675.671 | Edge:ab30 | Cost:396
Node:424.88,756.12 | Pred:470.978,666.831 | Edge:ud28 | Cost:347
Node:1070.25,1104.95 | Pred:1080.89,1004.99 | Edge:cb18 | Cost:600
Node:673.258,814.742 | Pred:715.404,777 | Edge:cg8 | Cost:381
Node:1243.82,519.568 | Pred:1171.07,572.828 | Edge:ab1 | Cost:543
Node:810.046,613.069 | Pred:759.747,590.848 | Edge:ab20 | Cost:302
Node:997.291,620.221 | Pred:951.046,618.069 | Edge:ab18 | Cost:402
Node:680.628,649.081 | Pred:673.102,665.989 | Edge:cg18 | Cost:304
Node:440.233,880.011 | Pred:425.91,841.124 | Edge:ud17 | Cost:423
Node:116.977,659.103 | Pred:159.552,549.01 | Edge:sv7 | Cost:381
Node:914.057,996.148 | Pred:931.879,919.434 | Edge:cb27 | Cost:524
Node:1002.92,949.011 | Pred:966.835,922.758 | Edge:cb4 | Cost:528
Node:1040.81,1010.59 | Pred:995.553,983.235 | Edge:cb13 | Cost:568
Node:205.977,628.17 | Pred:256.291,565.652 | Edge:sv21 | Cost:346
Node:649.736,628.989 | Pred:666.894,564.788 | Edge:cg20 | Cost:274
Node:323.655,481.149 | Pred:342.814,481.57 | Edge:sv35 | Cost:267
Node:431.261,586.409 | Pred:440.295,564.966 | Edge:ud48 | Cost:269
Node:470.978,666.831 | Pred:501.291,646.942 | Edge:ud34 | Cost:297
Node:952.796,490.041 | Pred:723.5,556.909 | Edge:pr5 | Cost:370
Node:1059.84,700.156 | Pred:961.31,685.98 | Edge:abi4 | Cost:465
Node:296.96,419.841 | Pred:414.345,392.207 | Edge:sv3 | Cost:253
Node:509.969,1316.38 | Pred:516.062,1258.66 | Edge:pr20 | Cost:630
Node:506.954,1371.93 | Pred:509.969,1316.38 | Edge:sq26 | Cost:649
Node:161.427,790.085 | Pred:258.298,694.202 | Edge:sv14 | Cost:413
Node:664.115,740.276 | Pred:649.941,690.518 | Edge:cg25 | Cost:328
Node:1096.45,380.652 | Pred:1046.22,403.3 | Edge:ab6 | Cost:434
Node:718.046,825.069 | Pred:728.844,797.033 | Edge:cg10 | Cost:382
Node:638.647,123.224 | Pred:659.465,81.9596 | Edge:nv5 | Cost:22
Node:527.225,797.258 | Pred:526.793,781.011 | Edge:cg45 | Cost:348
Node:1253.11,481.295 | Pred:1201.07,413.954 | Edge:ab4 | Cost:561
Node:878.952,806.75 | Pred:857.108,800.608 | Edge:ab37 | Cost:427
