0,62,126,135,36,92,174,96,68,84,117,150,135,169,
62,0,188,197,98,154,236,34,130,22,55,88,197,107,
125,187,0,9,161,33,205,221,78,209,242,275,9,294,
134,196,9,0,170,42,214,230,87,218,251,284,12,303,
36,98,162,171,0,128,138,132,104,120,153,186,171,205,
92,154,34,43,128,0,172,188,45,176,209,242,43,261,
179,241,206,215,143,172,0,275,127,263,296,329,215,348,
96,34,222,231,132,188,270,0,164,56,21,54,231,101,
64,126,79,88,100,45,127,160,0,148,181,214,88,233,
84,22,210,219,120,176,258,56,152,0,77,110,219,85,
117,55,243,252,153,209,291,21,185,77,0,33,252,80,
150,88,276,285,186,242,324,54,218,110,33,0,285,113,
134,196,9,12,170,42,214,230,87,218,251,284,0,303,
171,109,297,306,207,263,345,101,239,87,80,113,306,0,
