zone,path number,time 1,time 2,scene rating,inside?,covered?,distance
ef,1,66,62,2,0,0,0
ef,2,34,34,3,0,0,0
ef,3,21,21,3,0,0,0
ef,4,29,33,4,0,0,0
ef,5,78,80,5,0,0,0
ef,6,87,85,4,0,0,0
ef,7,22,22,3,0,0,0
